Created,Method,UriStem,UriQuery,IP,User,URL
2021-03-05 00:06:26,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:06:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:06:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:06:57,GET,/Account/Poke,token=1614902816312,172.17.100.110,reda.gedeikiene,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135842
2021-03-05 00:07:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:07:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:07:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:07:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:07:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:07:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:07:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:07:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:07:26,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:07:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:07:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:08:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:08:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:08:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:08:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:08:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:08:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:08:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:08:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:08:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:08:46,GET,/,-,172.17.100.110,-,-
2021-03-05 00:08:46,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:09:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:09:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:09:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:09:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:09:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:09:16,GET,/Account/Poke,token=1614902956771,172.17.100.110,john.jackson+,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135843
2021-03-05 00:09:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:09:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:09:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:09:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:09:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:10:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:10:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:10:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:10:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:10:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:10:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:10:16,GET,/,-,172.17.100.110,-,-
2021-03-05 00:10:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:10:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:10:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:10:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:10:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:11:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:11:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:11:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:11:02,GET,/Account/Poke,token=1614903063157,172.17.100.110,reda.gedeikiene,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135752
2021-03-05 00:11:12,GET,/,-,172.17.100.110,-,-
2021-03-05 00:11:12,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:11:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:11:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:11:26,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:11:44,GET,/,-,172.17.100.110,-,-
2021-03-05 00:11:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:11:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:11:56,GET,/Account/Poke,token=1614903116317,172.17.100.110,reda.gedeikiene,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135842
2021-03-05 00:12:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:12:01,GET,/,-,172.17.0.197,-,-
2021-03-05 00:12:01,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:12:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:12:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:12:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:12:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:12:26,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:12:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:12:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:13:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:13:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:13:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:13:10,GET,/,-,172.17.100.110,-,-
2021-03-05 00:13:10,GET,/,-,172.17.100.110,-,-
2021-03-05 00:13:10,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:13:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:13:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:13:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:13:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:13:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:14:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:14:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:14:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:14:12,GET,/,-,172.17.100.110,-,-
2021-03-05 00:14:12,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:14:17,GET,/Account/Poke,token=1614903256771,172.17.100.110,john.jackson+,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135843
2021-03-05 00:14:20,GET,/,-,172.17.100.110,-,-
2021-03-05 00:14:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:14:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:14:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:14:44,GET,/,-,172.17.100.110,-,-
2021-03-05 00:14:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:14:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:15:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:15:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:15:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:15:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:15:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:15:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:15:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:15:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:15:44,GET,/,-,172.17.100.110,-,-
2021-03-05 00:15:44,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:16:01,GET,/,-,172.17.0.197,-,-
2021-03-05 00:16:01,GET,/,-,172.17.0.197,-,-
2021-03-05 00:16:01,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:16:03,GET,/Account/Poke,token=1614903363160,172.17.100.110,reda.gedeikiene,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135752
2021-03-05 00:16:10,GET,/,-,172.17.100.110,-,-
2021-03-05 00:16:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:16:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:16:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:16:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:16:26,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:16:44,GET,/,-,172.17.100.110,-,-
2021-03-05 00:16:44,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:16:56,GET,/Account/Poke,token=1614903416294,172.17.100.110,reda.gedeikiene,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135842
2021-03-05 00:17:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:17:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:17:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:17:10,GET,/,-,172.17.100.110,-,-
2021-03-05 00:17:10,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:17:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:17:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:17:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:17:44,GET,/,-,172.17.100.110,-,-
2021-03-05 00:17:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:17:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:18:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:18:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:18:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:18:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:18:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:18:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:18:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:18:26,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:18:46,GET,/,-,172.17.100.110,-,-
2021-03-05 00:18:46,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:19:01,GET,/,-,172.17.0.197,-,-
2021-03-05 00:19:01,GET,/,-,172.17.0.197,-,-
2021-03-05 00:19:01,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:19:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:19:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:19:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:19:16,GET,/Account/Poke,token=1614903556771,172.17.100.110,john.jackson+,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135843
2021-03-05 00:19:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:19:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:19:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:19:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:19:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:20:01,GET,/,-,172.17.0.197,-,-
2021-03-05 00:20:01,GET,/,-,172.17.0.197,-,-
2021-03-05 00:20:01,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:20:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:20:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:20:15,GET,/,-,172.17.100.110,-,-
2021-03-05 00:20:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:20:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:20:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:20:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:20:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:20:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:21:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:21:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:21:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:21:03,GET,/Account/Poke,token=1614903663162,172.17.100.110,reda.gedeikiene,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135752
2021-03-05 00:21:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:21:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:21:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:21:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:21:26,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:21:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:21:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:21:57,GET,/Account/Poke,token=1614903716292,172.17.100.110,reda.gedeikiene,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135842
2021-03-05 00:22:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:22:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:22:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:22:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:22:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:22:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:22:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:22:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:22:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:22:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:22:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:23:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:23:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:23:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:23:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:23:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:23:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:23:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:23:26,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:23:44,GET,/,-,172.17.100.110,-,-
2021-03-05 00:23:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:23:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:24:01,GET,/,-,172.17.0.197,-,-
2021-03-05 00:24:01,GET,/,-,172.17.0.197,-,-
2021-03-05 00:24:01,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:24:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:24:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:24:17,GET,/Account/Poke,token=1614903856768,172.17.100.110,john.jackson+,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135843
2021-03-05 00:24:20,GET,/,-,172.17.100.110,-,-
2021-03-05 00:24:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:24:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:24:26,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:24:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:24:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:25:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:25:01,GET,/,-,172.17.0.197,-,-
2021-03-05 00:25:01,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:25:10,GET,/,-,172.17.100.110,-,-
2021-03-05 00:25:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:25:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:25:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:25:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:25:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:25:44,GET,/,-,172.17.100.110,-,-
2021-03-05 00:25:44,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:26:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:26:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:26:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:26:03,GET,/Account/Poke,token=1614903963164,172.17.100.110,reda.gedeikiene,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135752
2021-03-05 00:26:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:26:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:26:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:26:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:26:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:26:44,GET,/,-,172.17.100.110,-,-
2021-03-05 00:26:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:26:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:26:57,GET,/Account/Poke,token=1614904016290,172.17.100.110,reda.gedeikiene,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135842
2021-03-05 00:27:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:27:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:27:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:27:12,GET,/,-,172.17.100.110,-,-
2021-03-05 00:27:12,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:27:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:27:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:27:26,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:27:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:27:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:28:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:28:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:28:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:28:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:28:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:28:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:28:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:28:26,GET,/,-,172.17.100.154,-,-
2021-03-05 00:28:26,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:28:44,GET,/,-,172.17.100.110,-,-
2021-03-05 00:28:44,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:29:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:29:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:29:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
2021-03-05 00:29:11,GET,/,-,172.17.100.110,-,-
2021-03-05 00:29:11,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:29:16,GET,/Account/Poke,token=1614904156757,172.17.100.110,john.jackson+,https://portal-uk.synergytrak.com/Services/SurgicalProcedure/Edit/135843
2021-03-05 00:29:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:29:25,GET,/,-,172.17.100.154,-,-
2021-03-05 00:29:25,GET,/Account/Login,ReturnUrl=%2f,172.17.100.154,-,-
2021-03-05 00:29:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:29:45,GET,/,-,172.17.100.110,-,-
2021-03-05 00:29:45,GET,/Account/Login,ReturnUrl=%2f,172.17.100.110,-,-
2021-03-05 00:30:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:30:00,GET,/,-,172.17.0.197,-,-
2021-03-05 00:30:00,GET,/Account/Login,ReturnUrl=%2f,172.17.0.197,-,-
